FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_0270,SS3578,SS3550,111,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,B1,270.01,2/25/19,I-31,NA,0,,
GH_1049,CRA197,CRA131,106,C1,3,2017,C1 2017,6,C,2,35.2,5,1,1,3,0.01,B2,1049.01,2/25/19,I-31,NA,0,,
GH_1078,WAW44,WAW66,128,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,B3,1078.01,2/25/19,I-31,4,20,,
GH_1070,CRA73,CRA18,108,C1,3,2017,C1 2017,6,C,2,35.2,5,1,1,3,0.01,B4,1070.01,2/25/19,I-31,6,36,,
GH_0134,SS3350,SS3325,75,C1,3,2010,C1 2010,5,C,2,35.2,5,1,1,3,0.01,B5,134.01,2/25/19,I-31,4,16,,
GH_0297,SS3595,SS3593,123,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,B6,297.01,2/25/19,I-31,6,20,,
GH_0978,CRA167,CRA74,100,C1,3,2017,C1 2017,6,C,2,35.2,5,1,1,3,0.01,B7,978.01,2/25/19,I-31,6,36,,
GH_1093,WAW50,WAW11,132,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,B8,1093.01,2/25/19,I-31,6,36,,
GH_0127,SS3340,SS3495,74,C1,3,2010,C1 2010,5,C,2,35.2,5,1,1,3,0.01,B9,127.01,2/25/19,I-31,6,40,,
GH_1076,WAW51,WAW66,127,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,B10,1076.01,2/25/19,I-31,6,32,,
GH_0271,SS3545,SS3573,112,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,B11,271.01,2/25/19,I-31,4,21,1,
GH_0301,SS3567,SS3573,114,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,B12,275.01,2/25/19,I-31,6,36,,
